Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:       ALABAMA

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
              853                  9,942.10         10,273.60                10,235.48        10,663.71           41,114.89
              855                     408.5            423.48                   421.39           453.09            1,706.46
              856                  1,637.61          1,616.48                 1,533.64         1,606.41            6,394.14
              857                 10,153.92         10,733.13                10,410.67        10,690.67           41,988.39
              859                    407.04            423.81                   445.52           543.42            1,819.79
              860                  1,245.61          1,395.80                 1,325.35         1,301.01            5,267.77
              863                  1,348.15          1,534.32                 1,509.86         1,592.85            5,985.18
              864                    948.69            897.88                   881.53           936.74            3,664.84
              865                     39.02             23.64                     27.7            60.12              150.48
   TOTAL                          73,164.39         75,825.33                76,114.50        78,789.71          303,893.93
   STATE:           ARKANSAS
   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3                QUARTER 4         TOTAL GRAMS

              716                  2,662.62          2,550.14                 2,527.95          2,788.78            10,529.49
              717                    887.53            882.96                   860.07            985.29             3,615.85
              718                    855.97            856.88                   830.82            940.19             3,483.86
              719                  3,461.36          3,520.20                 3,369.38          3,216.15            13,567.09
Run Date: 02/03/2017                                   ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                 RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
              720                   7,007.26           7,130.49             6,988.92          7,473.19          28,599.86
              721                   5,751.17           5,977.15             5,931.96          5,860.12          23,520.40
              722                   6,730.51           7,009.61             6,858.61          7,020.89          27,619.62
              723                   1,406.42              1,352             1,470.09          1,523.05           5,751.56
              724                   2,653.31           2,568.85             2,648.86          2,766.51          10,637.53
              725                     699.25             737.37               715.26            763.01           2,914.89


   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:ARKANSAS

   ZIP CODE         QUARTER 1                  QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
              726                   1,517.48          1,387.01            1,516.42       1,469.13            5,890.04
              727                  10,989.94         11,312.68           11,280.74      11,840.18           45,423.54
              728                     913.79            914.64              892.39         881.91            3,602.73
              729                   1,870.74          1,795.45            1,851.44       2,014.24            7,531.87
   TOTAL                           47,407.35         47,995.43           47,742.91      49,542.64          192,688.33
   STATE:           CALIFORNIA

   ZIP CODE         QUARTER 1                  QUARTER 2       QUARTER 3               QUARTER 4      TOTAL GRAMS
              900                  18,948.06         20,284.14             20,373.06        20,809.46           80,414.72
              902                  11,891.81         12,482.57             12,436.65        12,397.27           49,208.30
              903                     248.67            292.17                240.32           263.44            1,044.60
              904                   3,953.61          3,857.72                 3,983         3,929.95           15,724.28
              905                   1,639.81          1,665.85              1,692.10         1,761.52            6,759.28
              906                   2,303.50          2,219.88              2,326.37         2,336.52            9,186.27
              907                   3,101.47          3,110.92              3,089.88         3,207.04           12,509.31
              908                   2,737.60          2,844.97              2,854.36         3,006.11           11,443.04
              910                   1,621.59          1,650.85              1,770.51         1,555.35            6,598.30
              911                   2,407.55          2,372.76              2,413.27         2,500.55            9,694.13
              912                   1,407.54          1,581.90              1,614.28         1,526.86            6,130.58
              913                  13,419.97         13,866.82             13,889.90        14,103.60           55,280.29
              914                   3,807.25          3,828.78              3,883.18         4,029.47           15,548.68
              915                   1,669.34          1,676.17              1,784.32         1,763.78            6,893.61
              916                   1,800.57          1,944.04              1,935.59         1,868.02            7,548.22
              917                   6,714.99          6,746.25              6,503.42         6,803.23           26,767.89
              918                     320.26            332.46                327.76           378.82            1,359.30
              919                   2,484.16          2,623.22              2,731.98         2,702.14           10,541.50
              920                  25,344.73            27,504             27,373.07        27,435.55          107,657.35
              921                  16,517.51         16,807.51             16,998.64        17,312.69           67,636.35
              922                   3,410.97          3,349.17              3,126.28         3,513.88           13,400.30
              923                      3,910          3,954.28              3,925.07         4,137.27           15,926.62
              924                     422.05             332.9                 390.4           351.49            1,496.84
              925                   5,976.84          6,126.97              6,023.60         6,501.81           24,629.22
              926                  20,589.10         20,913.30             21,027.40        21,870.05           84,399.85
              927                   4,666.09          4,663.23              4,788.58         4,752.80           18,870.70
              928                   7,693.73          8,084.42              7,689.78         8,129.82           31,597.75
              930                   5,577.46          5,560.54              5,592.94         5,664.72           22,395.66
              931                   3,366.81          3,502.31              3,187.52         3,433.75           13,490.39
              932                   1,798.62          1,704.72              1,719.95         1,801.99            7,025.28
              933                   1,909.99          1,874.97              1,877.38         1,947.15            7,609.49
              934                   3,218.37          3,492.90              3,225.09         3,444.79           13,381.15
              935                   2,236.49          2,258.97              2,126.22         2,375.12            8,996.80
              936                   2,098.58          2,168.05              2,106.85         2,151.84            8,525.32
              937                   3,013.44          3,049.93              3,146.61         3,307.46           12,517.44
              939                   1,656.30          1,670.99              1,777.19         1,683.08            6,787.56
              940                   5,684.85          5,706.41              5,753.45         5,755.91           22,900.62
              941                  10,974.54         11,487.88             11,961.76        11,402.10           45,826.28
              943                     979.57          1,064.40              1,025.78         1,030.76            4,100.51
              944                   1,079.48          1,156.93              1,241.05         1,204.41            4,681.87
              945                  15,672.12         15,360.85             15,065.79        15,671.73           61,770.49
              946                   3,417.94          3,328.53              3,341.63         3,412.16           13,500.26
Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
              947                   1,273.72          1,354.07               1,266.11          1,461.86           5,355.76
              948                     710.95            520.46                 686.94            627.13           2,545.48
              949                   4,462.56          4,665.61               4,742.15          4,681.79          18,552.11
              950                   7,058.84          7,074.52               6,959.92          7,142.94          28,236.22
              951                   3,781.53          3,903.09               4,107.49          4,054.56          15,846.67
              952                   2,075.06          1,926.68               1,833.04          1,976.10           7,810.88
              953                   4,986.71          4,997.65               4,737.16          5,130.77          19,852.29
              954                   3,651.88             3,484               3,756.72          3,652.72          14,545.32
              955                     828.84             840.3                 784.55            822.54           3,276.23
              956                  10,621.07         10,411.36              10,134.61         10,681.54          41,848.58
              957                   2,332.13          2,148.86               2,225.90          2,452.39           9,159.28
              958                   4,874.61          4,768.73               4,796.21          5,082.24          19,521.79
              959                   4,370.11          4,436.35               4,320.96          4,409.48          17,536.90
              960                   1,526.79          1,529.22               1,578.75          1,618.08           6,252.84
              961                     491.65             505.7                 499.29            559.98           2,056.62
   TOTAL                          284,739.78        291,072.23             290,771.78        297,589.58       1,164,173.37


   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:       COLORADO

   ZIP CODE         QUARTER 1                  QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              800                  10,818.40         11,329.79              11,598.84        11,622.96           45,369.99
              801                  12,329.39         13,205.83              13,737.90        13,610.14           52,883.26
              802                  17,253.61         18,467.64              18,866.91        18,786.97           73,375.13
              803                   3,251.11          3,349.94               3,274.98         3,429.89           13,305.92
              804                   2,756.03          2,892.30               2,938.76         2,895.59           11,482.68
              805                   6,721.54          7,110.02               7,191.01         7,498.32           28,520.89
              806                   2,180.17          2,226.84               2,283.24         2,266.98            8,957.23
              807                      300.8            341.58                  299.4           359.03            1,300.81
              808                   1,115.61          1,164.67               1,155.14         1,118.75            4,554.17
              809                   6,869.41          7,195.41               7,522.74         7,167.36           28,754.92
              810                   1,219.78          1,269.16               1,316.40         1,344.16            5,149.50
              811                     209.64            216.36                 225.17           229.04              880.21
              812                     532.66            597.62                 595.11            564.6            2,289.99
              813                     652.91            724.97                  712.9           676.96            2,767.74
              814                     478.83            446.76                 470.73           497.82            1,894.14
              815                   1,518.68          1,495.23               1,626.91         1,553.22            6,194.04
              816                   2,062.95          2,145.55               2,273.82         2,307.62            8,789.94
   TOTAL                           70,271.52         74,179.67              76,089.96        75,929.41          296,470.56
   STATE:           CONNECTICUT

   ZIP CODE         QUARTER 1                  QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
               60                   8,395.31          8,519.29            8,733.70       8,822.96           34,471.26
               61                   3,153.49          3,236.56            3,069.74       3,317.38           12,777.17
               62                   2,078.94          2,044.42            2,050.11       2,130.97            8,304.44
               63                   4,420.23          4,649.47            4,996.96       4,997.01           19,063.67
               64                     11,509         12,064.83           12,288.03      12,107.41           47,969.27
               65                   3,860.19          3,797.40            3,800.97       3,773.30           15,231.86
               66                   1,286.48          1,338.99            1,313.01       1,430.41            5,368.89
               67                   3,036.95          3,141.63            3,123.63       3,265.93           12,568.14
               68                   9,281.19          9,483.09            9,786.66       9,828.30           38,379.24
               69                   1,487.16          1,620.45            1,729.30       1,631.10            6,468.01
   TOTAL                           48,508.94         49,896.13           50,892.11      51,304.77          200,601.95
   STATE:           DELAWARE

   ZIP CODE         QUARTER 1                  QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              197                   8,964.29          9,293.91               9,080.34         9,263.22          36,601.76
              198                   6,609.55          6,832.45               6,768.44         6,788.26          26,998.70
              199                   5,291.74          5,550.91               5,742.81         5,779.65          22,365.11

   TOTAL                           20,865.58         21,677.27              21,591.59         21,831.13          85,965.57
Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
   STATE:           DISTRICT OF COLUMBIA
   ZIP CODE         QUARTER 1                 QUARTER 2          QUARTER 3               QUARTER 4         TOTAL GRAMS

              200                 10,391.51          10,893.11               10,814.41         10,894.90            42,993.93
              203                    115.51             159.31                  171.02             51.93               497.77
              204                    346.13             348.04                  438.96            341.67             1,474.80
              205                         0                  0                    0.37                 0                 0.37
   TOTAL                          10,853.15          11,400.46               11,424.76         11,288.50            44,966.87
   STATE:           FLORIDA
   ZIP CODE         QUARTER 1                 QUARTER 2          QUARTER 3               QUARTER 4         TOTAL GRAMS

              320                  7,894.40           8,375.31                8,610.48          8,751.12            33,631.31
              321                  6,865.23           7,275.23                7,044.18          7,404.32            28,588.96
              322                 19,270.97          20,518.17               21,691.49         20,751.12            82,231.75
              323                  9,032.07           9,425.65                8,915.38          9,567.84            36,940.94
              324                  7,729.92           8,018.40                8,020.36          8,277.27            32,045.95
              325                 16,982.47          17,728.92               18,523.97         18,084.55            71,319.91
              326                  5,180.71           5,393.62                5,465.37          5,785.09            21,824.79
              327                 14,231.73          15,175.32               15,851.94         16,308.10            61,567.09
              328                 11,424.59          12,668.88               12,556.22         13,032.61            49,682.30
              329                 11,506.17          11,870.44               12,264.63         12,576.71            48,217.95
              330                 12,548.51          13,804.69               13,705.93         14,220.67            54,279.80
              331                 14,060.12          14,974.21               15,057.16         15,546.89            59,638.38
              333                 10,106.29          11,331.46               11,475.04         11,376.29            44,289.08
              334                 21,157.43          22,522.59               22,290.99         23,205.25            89,176.26
              335                  8,258.92           9,139.63                9,442.79          9,835.49            36,676.83
              336                 11,894.98          13,021.63               13,393.66         13,564.93            51,875.20
              337                 11,433.23          12,507.07               12,709.20         12,796.20            49,445.70
              338                  6,055.51           6,408.38                6,256.23          6,907.11            25,627.23
              339                 10,541.31          11,116.90               11,488.77         12,164.64            45,311.62
              341                  5,681.51           5,897.19                5,832.26          6,437.07            23,848.03


   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:FLORIDA

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3            QUARTER 4      TOTAL GRAMS
              342                 11,408.55         12,320.61            12,198.62      12,829.65           48,757.43
              344                  3,450.40          3,886.76             3,810.75       3,967.86           15,115.77
              346                  7,420.44          7,900.07             7,984.69       8,181.66           31,486.86
              347                  6,768.27          7,229.40             7,381.95       7,580.73           28,960.35
              349                  6,039.03          6,146.65             6,111.28       6,438.41           24,735.37
   TOTAL                         256,942.76        274,657.18           278,083.34     285,591.58        1,095,274.86

   STATE:           GEORGIA
   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                  QUARTER 4      TOTAL GRAMS
              300                 34,841.27         36,460.68                37,233.62        37,645.25          146,180.82
              301                 20,130.87         19,709.95                21,010.64        21,297.69           82,149.15
              302                 12,240.18         12,265.69                12,497.73        12,759.02           49,762.62
              303                 19,930.45         21,143.57                21,380.17        21,725.66           84,179.85
              304                  6,716.84          6,596.65                 6,786.04         6,875.45           26,974.98
              305                 10,301.79         10,801.51                11,019.56        11,550.24           43,673.10
              306                  7,322.87          7,319.23                 7,407.97         7,755.34           29,805.41
              307                  5,722.53          6,034.41                 6,226.90         6,497.57           24,481.41
              308                  3,227.61          3,097.18                 3,295.14         3,401.95           13,021.88
              309                  5,153.45          5,279.54                 5,570.49         5,468.02           21,471.50
              310                  6,462.72          6,413.70                 6,669.80         7,046.01           26,592.23
              312                  2,671.05          2,636.79                 2,695.12         2,790.16           10,793.12
              313                  5,267.64          5,415.69                 5,819.75         5,685.24           22,188.32
              314                  5,565.26          5,822.85                 5,754.90         5,809.28           22,952.29
              315                  6,985.39          6,987.42                 7,469.81         7,506.17           28,948.79
              316                  3,178.56          3,160.29                 3,311.45         3,365.65           13,015.95
Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
              317                  6,272.73          5,845.33               6,233.70          6,269.08          24,620.84
              318                    547.23            451.91                  511.9            549.68           2,060.72
              319                  6,884.78          6,865.19               6,912.29          6,576.82          27,239.08
              398                  1,522.72          1,404.41               1,436.26          1,492.46           5,855.85
   TOTAL                         170,945.94        173,711.99             179,243.24        182,066.74         705,967.91

   STATE:           GUAM
   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              969                   397.32             392.44                490.58            474.36           1,754.70

   TOTAL                            397.32             392.44                490.58            474.36            1,754.70
   STATE:           HAWAII
   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              967                  4,351.21          4,220.99               4,437.32         4,446.29          17,455.81
              968                  4,740.93          4,395.45               5,333.17         4,525.04          18,994.59
   TOTAL                           9,092.14          8,616.44               9,770.49         8,971.33          36,450.40
   STATE:           IDAHO

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
              832                  1,803.52          1,829.38            1,787.38       1,915.52           7,335.80
              833                  1,752.79          1,786.57            1,726.77       1,703.14           6,969.27
              834                  4,013.68          4,084.59            4,086.13       4,295.59          16,479.99
              835                    308.89            344.26              356.48         367.01           1,376.64
              836                  6,258.75          6,823.55            6,792.40          6,763          26,637.70
              837                  6,421.47          7,006.19            6,847.68       6,947.71          27,223.05
              838                  1,788.41          1,874.01            1,852.45       1,964.42           7,479.29
   TOTAL                          22,347.51         23,748.55           23,449.29      23,956.39          93,501.74
   STATE:           ILLINOIS

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              600                 29,348.04         31,171.04              31,796.33        31,740.62          124,056.03
              601                 19,386.03         20,342.86              21,180.74        21,815.65           82,725.28
              602                  1,538.76          1,504.75               1,330.43         1,455.04            5,828.98
              603                  1,105.34          1,116.47               1,170.52         1,223.97            4,616.30
              604                 16,206.25         17,122.54              17,410.89        17,968.29           68,707.97
              605                 14,947.27         16,167.19              16,234.11        16,761.46           64,110.03
              606                 32,470.37         35,483.08              35,634.86        35,771.43          139,359.74
              607                  1,843.41          2,021.19               2,121.71         2,121.17            8,107.48
              608                    524.74            535.88                 523.89           594.16            2,178.67
              609                  1,711.62          1,863.50               1,858.55         1,964.63            7,398.30
              610                  3,311.58          3,365.88               3,304.05         3,436.49              13,418
              611                  3,526.27          3,579.36               3,477.54         3,702.52           14,285.69
              612                  2,940.07          2,965.14               3,110.85         3,187.50           12,203.56
              613                  2,008.29          2,203.95               2,197.39         2,278.35            8,687.98
              614                  1,854.10          1,773.82               1,876.83         1,819.94            7,324.69
              615                  3,097.81          3,130.96               3,105.37         3,281.43           12,615.57


   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:ILLINOIS

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                QUARTER 4      TOTAL GRAMS
              616                  3,859.13          3,977.09               4,018.03         3,932.70          15,786.95
              617                  3,502.17          3,642.83               3,481.60         3,732.16          14,358.76
              618                  3,561.27          3,560.96               3,543.85         3,826.41          14,492.49
              619                  1,262.67          1,238.77               1,282.65         1,268.18           5,052.27
              620                  3,461.84          3,564.86               3,437.65         3,531.51          13,995.86
              622                  5,097.63          5,064.92               4,944.90         5,114.09          20,221.54
              623                  1,756.76          1,874.36               1,813.42         1,862.31           7,306.85
              624                  1,176.43          1,161.07               1,186.21         1,202.62           4,726.33
              625                  1,732.50          1,702.88               1,655.42            1,767           6,857.80
              626                  1,515.22          1,494.16               1,576.53         1,520.23           6,106.14
Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
              627                  2,225.48          2,256.93                 2,302.10         2,395.27             9,179.78
              628                  2,335.58          2,410.09                 2,255.89         2,367.33             9,368.89
              629                  3,735.12          3,694.57                 3,680.29         3,852.74            14,962.72
   TOTAL                         171,041.75        179,991.10               181,512.60       185,495.20           718,040.65
   STATE:           INDIANA
   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3                QUARTER 4        TOTAL GRAMS

              460                 13,184.90         13,473.94                13,613.59        13,876.08            54,148.51
              461                  7,461.42          7,853.50                 7,925.73         8,342.26            31,582.91
              462                 14,870.34            15,457                15,272.02        15,897.36            61,496.72
              463                 10,432.22         10,968.06                11,387.32        11,638.32            44,425.92
              464                  1,039.25          1,046.87                 1,184.59         1,288.80             4,559.51
              465                 16,160.02         16,419.02                16,589.38        17,080.87            66,249.29
              466                  4,126.58          4,308.06                 4,428.37         4,485.63            17,348.64
              467                  3,576.64          3,659.79                 3,644.69         3,597.09            14,478.21
              468                  5,276.53          5,392.21                 5,452.34         5,601.66            21,722.74
              469                     4,899          5,072.14                 5,107.29         5,131.22            20,209.65
              470                  1,360.51          1,417.43                 1,559.55         1,466.70             5,804.19
              471                  6,792.75          6,782.49                 6,615.33         6,595.77            26,786.34
              472                  2,055.02          2,133.45                 2,095.69         2,307.52             8,591.68
              473                  4,574.41          4,678.23                 4,523.74         4,979.35            18,755.73
              474                  3,811.74          3,907.46                 3,907.80         3,907.34            15,534.34
              475                  2,107.32          2,225.06                 2,235.46         2,368.37             8,936.21
              476                  2,523.44          2,522.03                 2,507.19         2,449.51            10,002.17
              477                  5,347.01          5,404.33                 5,594.47         5,497.15            21,842.96
              478                  2,253.39          2,170.26                 2,153.82         2,291.72             8,869.19
              479                  6,474.32          6,566.38                 6,451.13         6,621.67            26,113.50
   TOTAL                         118,326.81        121,457.71               122,249.50       125,424.39           487,458.41
   STATE:           IOWA
   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3                QUARTER 4        TOTAL GRAMS

              500                  3,466.10          3,524.66                 3,732.62         3,871.74            14,595.12
              501                  1,590.06          1,680.80                 1,612.61         1,663.01             6,546.48
              502                  2,717.24          2,763.27                 2,799.57         2,857.58            11,137.66
              503                  4,918.81          5,188.97                 5,437.52         5,352.87            20,898.17
              504                    873.49            824.95                   792.73           837.76             3,328.93
              505                  1,128.93          1,049.89                 1,088.68         1,157.07             4,424.57
              506                  1,518.90          1,384.78                 1,360.68         1,438.78             5,703.14
              507                  1,065.25          1,095.45                 1,126.72         1,203.74             4,491.16
              508                    171.39            169.61                   175.77           170.71               687.48
              510                    946.74            928.43                    901.6           864.86             3,641.63
              511                  2,573.39          2,637.69                 2,597.57         2,663.63            10,472.28
              512                    454.95            393.43                   367.33            416.9             1,632.61
              513                    631.85            656.79                   693.93            656.8             2,639.37
              514                    372.62            396.47                   383.79           356.25             1,509.13
              515                  1,839.62          1,870.17                 1,868.42         1,953.11             7,531.32
              516                    189.88            204.16                   172.05           203.67               769.76
              520                  2,852.65          2,823.95                 2,867.44         2,984.96               11,529
              521                    475.02            452.77                   399.97           449.94             1,777.70
              522                  4,461.80          4,656.72                 4,750.68         4,746.93            18,616.13
              523                  2,094.16          2,116.51                 2,063.73         2,278.50             8,552.90
              524                  3,714.92          3,763.11                 3,825.37         3,827.20            15,130.60
              525                     958.3            930.31                   942.21           889.41             3,720.23
              526                  1,489.96          1,563.79                 1,681.94         1,588.24             6,323.93
              527                  3,083.07          3,130.03                 3,053.17         3,088.37            12,354.64
              528                  2,260.09          2,379.28                 2,385.64         2,443.54             9,468.55
   TOTAL                          45,849.19         46,585.99                47,081.74        47,965.57           187,482.49

   STATE:           KANSAS


   DRUG CODE:1100DRUG NAME:AMPHETAMINE
Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
   STATE:KANSAS

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
              660                 12,982.99         13,092.93           13,425.48      13,866.67          53,368.07
              661                  1,647.50          1,691.05            1,635.45       1,732.46           6,706.46
              662                 16,182.04         16,857.88           17,673.70      17,513.34          68,226.96
              664                  1,131.15          1,077.10            1,056.34       1,109.76           4,374.35
              665                  1,476.44          1,412.06            1,299.73       1,449.14           5,637.37
              666                  4,527.90          4,863.52            4,873.02       4,813.63          19,078.07
              667                  1,765.32          1,707.41            1,653.24          1,737           6,862.97
              668                    561.42            595.87              593.79         634.99           2,386.07
              669                     123.7             108.8              113.98          82.39             428.87
              670                  2,113.10          2,201.79            2,220.54       2,315.18           8,850.61
              671                    840.52            796.24              871.17         886.82           3,394.75
              672                  6,928.08          7,380.37            7,315.34       7,395.78          29,019.57
              673                    768.83            779.62              741.67         758.78           3,048.90
              674                  1,182.02          1,188.77            1,206.23       1,228.82           4,805.84
              675                    977.34            984.72            1,015.07         959.66           3,936.79
              676                    727.74            495.77              610.82         598.35           2,432.68
              677                    298.31            314.24              332.24         330.77           1,275.56
              678                    608.77            635.21              609.77         669.37           2,523.12
              679                    220.13            197.82              236.48         207.68             862.11

   TOTAL                          55,063.30         56,381.17               57,484.06        58,290.59           227,219.12
   STATE:           KENTUCKY
   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3               QUARTER 4        TOTAL GRAMS

              400                  3,362.05          3,449.85                3,620.77         3,543.21            13,975.88
              401                  1,557.50          1,600.37                1,814.37         1,367.28             6,339.52
              402                 15,203.65         15,575.39               15,356.07        16,036.50            62,171.61
              403                  3,561.10          3,594.94                3,638.56         3,892.26            14,686.86
              404                  1,479.40          1,385.69                1,403.41         1,599.08             5,867.58
              405                  5,924.18          6,095.12                6,215.51         6,553.77            24,788.58
              406                     649.1            647.89                   702.4            747.2             2,746.59
              407                     476.2            514.43                  504.55           543.05             2,038.23
              408                     166.3            210.39                  159.37           205.85               741.91
              409                    173.91            158.08                  169.81           173.36               675.16
              410                  8,773.62          8,914.97                8,880.46         9,275.85            35,844.90
              411                  1,370.19          1,371.38                   1,383         1,409.80             5,534.37
              412                    386.49            340.56                  382.53           329.92             1,439.50
              413                    124.72            136.08                   125.4           147.61               533.81
              414                    146.35            128.26                  132.21           142.35               549.17
              415                    415.66            416.89                  404.35           465.15             1,702.05
              416                     283.4            292.51                  297.49           300.07             1,173.47
              417                    285.56            281.51                  323.17           303.67             1,193.91
              418                    111.43             112.3                  108.72           118.29               450.74
              420                  4,036.62          4,013.69                4,063.17         4,155.25            16,268.73
